job_title,company,location,summary,state
Data Scientist,Verizon,"Irving, TX","Experience in machine learning and statistical modeling. In statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science or in a…",TX
Senior Data Scientist,Microagility,"Dallas, TX","Experience with a range of statistical, artificial intelligence and machine learning techniques as well as tools used in their implementation.",TX
Senior Data Scientist,JP Morgan Chase,"Lewisville, TX","Natural language processing, deep learning, bayesian reasoning, recommendation systems, learning for search, speech processing, learning from semistructured…",TX
Senior Data Scientist - Technology,Walmart,"Plano, TX",A Data Scientist is responsible for analyzing large data sets to develop custom models and algorithms to drive business solutions. Using the Open Door Policy;,TX
Data Scientist/Transportation Analytics,"J.C. Penney Corporation, Inc.","Plano, TX","Identifies, analyzes and interprets trends and patterns in complex data sets. Uses data mining, model building and other analytical techniques to identify…",TX
Machine Learning Data Pipeline Engineer,One Technologies,"Dallas, TX",4+ years of previous software testing and test plan designer experience or 5+ years as a software engineer and 6+ months of testing experience.,TX
Lead Data Scientist,ITL USA,"Plano, TX","Infosys is a global leader in consulting, technology and outsourcing solutions. We enable clients, in more than 30 countries, to stay a step ahead of emerging…",TX
Data Scientist,Verizon,"Irving, TX","Experience in machine learning and statistical modeling. In statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science or in a…",TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",A Publication or Paper Presentation in any renowned Data Science and Machine Learning conferences. Strong expertise in statistical modeling techniques such as…,TX
Machine Learning Data Pipeline Engineer,One Technologies,"Dallas, TX","One Technologies offers attractive compensation, 100% company-paid health and dental insurance, short term and long term disability coverage, paid health club…",TX
Senior Data Scientist,Sense Corp,"Dallas, TX","Passion for data analytics, modeling, programming, and machine learning. Ability to create and deliver presentations in the Data Science and Advanced Analytics…",TX
Data Scientist,NTT DATA Services,"Plano, TX","Designing and executing processes related to machine learning and predictive modeling, data mining, and research on large scale complex data sets using…",TX
Research Scientist,NCH Corporation,"Irving, TX",We’re seeking highly skilled and innovative scientific talent for our team. Ability to communicate scientific advances through presentations and reports.,TX
R&D Region Technician,PepsiCo,"Plano, TX","Manage dips process data collection software with ability to troubleshoot, capture data, manipulate, and interface with Thermal Process experts.",TX
Data Scientist,Southern Methodist University,"Dallas, TX","Candidate must have experience using multiple statistical languages, including SAS, Python, and R to query databases, manipulate data, and draw from large data…",TX
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Dallas, TX","Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences. Experience using data visualization tools.",TX
Manager Data Management & Analysis,Baylor Scott & White Health,"Dallas, TX","The Blood and Marrow Transplant (BMT) Data Management and Analysis Manager (Manager) oversees the overall operations of BMT Clinical Data Management team,…",TX
Data Scientist,DTCC,"Dallas, TX","3+ years of data design / data analysis / quantitative modeling experience. MS or PhD in a quantitative field such as Computer Science, Applied Statistics,…",TX
Senior Data Scientist,Hypergiant,"Dallas, TX",Hypergiant is putting together a world-class team of Machine Learning and AI practitioners and is seeking stellar Data Scientists to join our movement.,TX
Senior Data Engineer - Sports,Event Dynamic,"Dallas, TX","Collaborates with data scientists, developers and teams to review data. This role will be highly involved in the development of the core AI-driven pricing…",TX
Lead Data Scientist,ITL USA,"Plano, TX","Infosys –Tecnology Lead - Data Scientist (R / Python) – US – Python, R. Excellent hands on R & Python experience. Location for this position is Plano, TX.",TX
Data Scientist,Verizon,"Irving, TX","Be a subject matter expert on machine learning and predictive modeling. You will work closely with a team of talented data scientists, Big Data engineers, and…",TX
NLP Data Scientist /Analytic Consultant 4,Wells Fargo,"Dallas, TX","Data Management and Insights (DMI), which offers Chief Data Office capabilities to Wells Fargo, focuses on leveraging data as a strategic asset.",TX
Statistician,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
Data Scientist,NTT DATA Services,"Plano, TX","Designing and executing processes related to machine learning and predictive modeling, data mining, and research on large scale complex data sets using…",TX
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
Data Scientist,HUNTER Technical Resources,"Addison, TX",Partner with Director of Marketing Analytics to identify practical opportunities to leverage large data sets and employ big data analytics techniques to improve…,TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",S5's R&D team is responsible for creating massively parallel systems while leveraging the deep understanding of distributed computing and machine learning.,TX
"Sr. Associate, Data Scientist NLP",KPMG,"Dallas, TX","Leverage a variety of tools and approaches to solve complex business objectives, from Statistical Natural Language Processing, Information Retrieval/Extraction,…",TX
Data Engineer,Varidesk LLC,"Coppell, TX",Create tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,TX
Data Scientist Consultant,DataRobot,"Irving, TX","Experience with machine learning techniques. As a Data Scientist on DataRobot's team, you will work on various real-world problems.",TX
Principal Data Scientist,Verizon,"Irving, TX","Manipulate and transform data to provide statistical analysis, machine learning, visualization, mathematical optimization and related advanced analytical…",TX
Senior Data Analyst / Data Scientist / Tableau Developer,1000bulbs.com,"Garland, TX","13 years later, Kim invested a small amount of savings into starting the company that would become 1000Bulbs.com. Paid vacation - One week in first year.",TX
Data Scientist,Trianz,"Dallas, TX","As a Data Scientist at Trianz, you will be working with a variety of data sources which may include big data and utilize advanced Machine Learning techniques.",TX
Data Scientist: Natural Language Processing (NLP)/ML & Text Analytics,Bank of America,"Addison, TX","1 to 2 years experience building Machine Learning & NLP solutions over open source platforms such as SciKit-Learn,Tensorflow, SparkML, Torch, Caffe, H2O.",TX
Google Data Engineer,Accenture,"Dallas, TX","You will be part of a highly collaborative and growing network of technology and data experts, who are taking on today’s biggest, most complex business…",TX
"Manager, Data Scientist",McKesson,"Dallas-Fort Worth, TX",Experience with machine learning and computational statistics packages. Collaborate with product management and engineering departments to understand company…,TX
Laboratory Scientist,AgBiTech,"Fort Worth, TX",Play an important role in building AgBiTech’s leadership position in NPVs and establishing high standards for this product category.,TX
NLP Data Scientist /Analytic Consultant 4,Wells Fargo,"Dallas, TX","This includes using machine learning techniques and programming languages to derive relevant analysis and metrics, including building proof of concepts to…",TX
Data Scientist,Verizon,"Irving, TX","Experience in machine learning and statistical modeling. In statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science or in a…",TX
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","We are seeking someone with a strong background in the theory and application of deep learning for image segmentation and classification, machine learning…",TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",A Publication or Paper Presentation in any renowned Data Science and Machine Learning conferences. Strong expertise in statistical modeling techniques such as…,TX
Data Scientist,HUNTER Technical Resources,"Addison, TX","Experience with common data science toolkits, such as Anaconda, R, Python. Experience with deploying machine learning systems from scratch.",TX
"Lead, People Analytics/Data Science",Deloitte,"Dallas, TX","Liaises and collaborates with other COEs, Business Advisor organizations and Core Talent Services on the whole analytics lifecycle (conceptualization, data…",TX
Statistician,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
SIRT TMC Sec Data Scientist - Security Incident Response Team,Goldman Sachs,"Dallas, TX","Utilize expertise in machine learning, statistical data analytics, and predictive analytics to help implement analytics tied to cyber security and hunting…",TX
NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Wells Fargo,"Irving, TX","This includes using machine learning techniques and programming languages to derive relevant analysis and metrics, including building proof of concepts to…",TX
Automated Artificial Intelligence (Big Data Analyst),NTT DATA Services,"Dallas, TX","Minimum 5 years in any Data Science role involving any of AI, BI, analytics, ontology, visualizing. Invent new ways of applying data to artificial intelligence.",TX
Principle Data Science/Machine Learning Engineer,7-Eleven,"Irving, TX",We are looking for an outstanding statistician/mathematician or Engineer with machine learning background. Graduate level knowledge in machine learning theories…,TX
"Sr. Data Analyst, Shopper Insights",PepsiCo,"Plano, TX","To do well in this role you need a very fine eye for detail, experience as a data analyst, and understanding of the popular data analysis tools and databases…",TX
Sr. Data Analyst,Home Point Financial Corporation,"Dallas, TX","Deep SQL and Relational Database experience. Data Analyst will use current technologies to provide analysis to assist in developing advanced modern, scalable,…",TX
"Data Scientist, Cyber Security",Bank of America,"Addison, TX","MapReduce, Hive, Impala, Spark, Flume, Kafka) and related Big Data technologies - Knowledge of R or SAS - Fluency with SQL on one or more relational databases…",TX
VP Data Scientist,Caliber Home Loans,"Coppell, TX","Familiarity and experience with applying various machine learning techniques (regression, decision trees, boosting, etc.).",TX
Lead Data Scientist,ITL USA,"Plano, TX","Excellent hands on R & Python experience. R & Python as a language is practically usable for anything, we are looking for application • Development and Extract…",TX
NLP Data Scientist /Analytic Consultant 4,Wells Fargo,"Dallas, TX","This includes using machine learning techniques and programming languages to derive relevant analysis and metrics, including building proof of concepts to…",TX
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",S5's R&D team is responsible for creating massively parallel systems while leveraging the deep understanding of distributed computing and machine learning.,TX
Data Scientist,HUNTER Technical Resources,"Addison, TX",Partner with Director of Marketing Analytics to identify practical opportunities to leverage large data sets and employ big data analytics techniques to improve…,TX
Data Scientist,Verizon,"Irving, TX",Be a subject matter expert on machine learning and predictive modeling. You’ll drive profitable growth and business innovation by applying cutting edge machine…,TX
Big Data/Machine Learning - Software Engineer,Sam's Club Technology,"Dallas, TX","Bachelors degree in Computer Science, Math, Physics, Electrical Engineering, or equivalent experience. Ability to develop software while leveraging relevant…",TX
Sr. Data Scientist,Abbott Laboratories,"Irving, TX","Relevant skills include applied mathematics, statistics, calculus, quantitative or statistical methods or techniques, data mining, informatics, machine learning…",TX
Senior-Data Scientist,AT&T,"Plano, TX","Lead research in emerging areas of Artificial Intelligence, adaptations of neural networks, and integration strategies for machine transference learning as…",TX
Senior Quality - Data Scientist,Abbott Laboratories,"Irving, TX","Relevant skills include applied mathematics, statistics, calculus, quantitative or statistical methods or techniques, data mining, informatics, machine learning…",TX
"Director, Data Scientist",Dynata,"Plano, TX",Deep knowledge of statistical and machine learning approaches and problem domains. Predictive analytics and machine learning technologies are and will be at the…,TX
Data Scientist / IT Data Analyst - SAS - MN or TX Preferred,UnitedHealth Group,"Dallas, TX",Manage business relationships on behalf of the broader Finance organization and Leadership. Ability to leverage SAS technologies to solve advanced analytics use…,TX
Senior Data Analyst,Redfin,"Plano, TX","We need an analytical expert with a passion for lending or financial services to help us turn our data into tangible, usable business insights around both turbo…",TX
